1,2,2011-09-26,14:44:09
2,2,2012-01-26,11:07:07
3,2,2012-01-24,16:13:37
4,2,2012-05-26,09:13:32
5,2,2011-10-07,21:45:53
6,2,2012-05-01,00:51:35
7,2,2011-12-31,15:20:20
8,2,2012-05-11,07:21:07
9,2,2011-12-14,19:47:01
10,2,2012-01-16,08:38:50
11,2,2012-02-13,20:19:27
12,2,2012-06-06,17:43:52
13,2,2011-09-12,17:59:43
14,2,2012-02-23,23:00:04
15,2,2011-09-17,03:42:30
16,2,2011-09-01,04:05:12
17,2,2012-05-13,03:38:48
18,2,2012-01-25,01:43:25
19,3,2012-11-11,07:13:05
20,3,2012-08-19,15:20:38
21,3,2013-04-13,21:36:36
22,3,2013-04-09,12:08:25
23,3,2012-10-19,10:56:34
24,3,2012-12-09,05:41:44
25,3,2012-10-29,06:00:28
26,3,2012-11-29,03:52:20
27,3,2013-06-22,20:09:20
28,3,2013-05-26,07:26:52
29,3,2012-10-19,05:12:06
30,3,2012-10-09,08:22:29
31,3,2012-09-24,17:38:33
32,3,2012-10-13,06:49:55
33,3,2012-12-13,18:18:57
34,3,2012-12-22,17:13:45
35,3,2013-04-01,06:44:26
36,3,2013-01-07,02:36:56
37,3,2013-06-21,06:32:44
38,3,2012-10-21,22:06:54
39,3,2013-01-04,12:51:24
40,3,2013-01-27,01:50:48
41,3,2013-03-04,16:42:00
42,3,2012-11-16,02:26:40
43,3,2013-06-04,18:00:53
44,3,2013-06-14,17:28:55
45,3,2012-12-24,16:10:34
46,3,2012-10-02,08:14:22
47,3,2013-06-29,16:00:12
48,3,2013-04-09,21:51:28
49,3,2013-04-05,23:50:30
50,3,2012-09-18,05:37:59
51,3,2012-10-10,04:45:21
52,3,2012-08-03,05:36:57
53,3,2013-03-23,03:09:01
54,3,2013-01-01,14:28:40
55,3,2012-09-27,08:46:24
56,3,2013-05-28,10:32:56
57,3,2013-06-27,17:32:27
58,3,2013-03-08,20:58:20
59,3,2012-10-03,03:59:03
60,3,2012-10-14,20:32:27
61,3,2012-10-04,21:41:19
