1,800000,"First Ti league, hold in Germany, there is no particular data about this game"
2,1600000,"Seond TI league, hold in America, a lot of fans began to play dota after this game, china win"
3,2874381,"Third TI league, hold in America, a lot of fans began to play dota after this game"
4,10000000,"Fourth TI league, hold in America, a lot of fans began to play dota after this game, china win"
5,18000000,"Fifith TI league, hold in America, a lot of fans began to play dota after this game"
6,20735639,"Sixth TI league, hold in America, a lot of fans began to play dota after this game, china win"
7,23000000,"Seventh TI league, hold in America, the most recent ti game!"
8,48000000,"Upcomming TI league,  will be hold in America, there is no particular data about this game"
9,76000000,"Upcomming TI league,  will be hold in America, there is no particular data about this game"
10,91000000,"Upcomming TI league,  will be hold in America, there is no particular data about this game"
